iter,phi_total,delay_term,frag_term,aff_reward_term,load_term
1,457.0541666666667,456.0125,0.041666666666666664,0.0,1.0
2,1954.5122685185186,1952.4625,0.04976851851851852,0.0,2.0
3,15037.139814814815,15034.074999999999,0.06481481481481481,0.0,3.0
4,16474.668518518516,16470.587499999998,0.08101851851851852,0.0,4.0
5,16273.085879629629,16470.587499999998,0.09837962962962962,204.60000000000002,7.0
6,16315.77222222222,16512.254166666666,0.11805555555555552,204.60000000000002,8.0
7,17153.044675925925,17348.520833333332,0.12384259259259256,204.60000000000002,9.0
8,17156.881018518518,17351.337499999998,0.14351851851851846,204.60000000000002,10.0
9,16957.324421296293,17351.337499999998,0.18692129629629628,409.20000000000005,15.0
10,19506.359027777777,19899.354166666668,0.20486111111111108,409.20000000000005,16.0
11,20793.131712962964,21183.0875,0.24421296296296294,409.20000000000005,19.0
12,20595.575115740743,21183.0875,0.28761574074074076,613.8000000000001,26.0
13,23227.908449074075,23812.420833333334,0.28761574074074076,613.8000000000001,29.0
14,34033.32754629629,34614.82083333333,0.30671296296296297,613.8000000000001,32.0
15,33837.72349537037,34614.82083333333,0.30266203703703703,818.4000000000001,41.0
16,35320.34490740741,36094.42083333334,0.32407407407407407,818.4000000000001,44.0
17,39160.54618055555,39931.604166666664,0.3420138888888889,818.4000000000001,47.0
18,40808.79814814815,41576.84166666667,0.35648148148148145,818.4000000000001,50.0
19,42656.28842592593,43421.504166666666,0.38425925925925924,818.6,53.0
20,53109.917939814804,53870.30416666666,0.41377314814814814,818.8000000000001,58.0
21,62931.888310185175,63687.237499999996,0.4508101851851852,818.8000000000001,63.0
22,62738.29930555555,63687.237499999996,0.4618055555555555,1023.4000000000001,74.0
23,69844.63969907408,70788.575,0.46469907407407407,1023.4000000000001,79.0
24,77216.4443287037,78155.575,0.4693287037037037,1023.6,84.0
25,80080.71562499998,81014.84166666666,0.47395833333333337,1023.6,89.0
26,79994.3335648148,81014.84166666666,0.49189814814814814,1117.0,96.0
27,83859.91192129631,84875.39166666668,0.5202546296296297,1117.0,101.0
28,83668.32118055556,84875.39166666668,0.529513888888889,1321.6000000000001,114.0
29,84141.00289351851,85343.05833333333,0.5445601851851852,1321.6000000000001,119.0
30,84109.82430555555,85343.05833333333,0.5659722222222222,1359.8000000000002,126.0
31,84016.02546296296,85343.05833333333,0.5671296296296297,1460.6000000000001,133.0
32,83826.41967592594,85343.05833333333,0.5613425925925926,1665.2,148.0
33,120063.15787037037,121572.95833333333,0.599537037037037,1665.4,155.0
34,126327.53506944445,127830.30833333333,0.626736111111111,1665.4,162.0
35,126977.14780092592,128543.10833333332,0.6394675925925926,1737.6000000000001,171.0
36,131392.76400462963,132951.90833333333,0.6556712962962963,1737.8000000000002,178.0
37,131283.19699074075,132951.90833333333,0.6886574074074073,1856.4,187.0
38,143656.69664351852,145318.575,0.7216435185185185,1856.6000000000001,194.0
39,152712.6513888889,154365.7083333333,0.7430555555555555,1856.8000000000002,203.0
40,152648.26585648145,154365.7083333333,0.757523148148148,1930.2,212.0
41,152452.6670138889,154365.7083333333,0.7586805555555555,2134.8,221.0
42,152345.06817129627,154365.7083333333,0.759837962962963,2253.4,232.0
43,152151.47743055553,154365.7083333333,0.7690972222222223,2458.0,243.0
44,151959.91388888887,154365.7083333333,0.8055555555555557,2662.6000000000004,256.0
45,160716.14340277776,163112.90833333333,0.8350694444444446,2662.6000000000004,265.0
46,160610.54282407404,163112.90833333333,0.8344907407407408,2781.2000000000003,278.0
47,160528.17754629627,163112.90833333333,0.869212962962963,2874.6000000000004,289.0
48,164924.26921296297,167500.15833333333,0.9108796296296298,2874.8,298.0
49,164736.68541666667,167500.15833333333,0.9270833333333335,3079.4,315.0
50,164547.09988425925,167500.15833333333,0.941550925925926,3284.0,330.0
51,164361.53287037037,167500.15833333333,0.974537037037037,3488.6000000000004,349.0
52,164287.56238425925,167500.15833333333,1.0040509259259258,3573.6000000000004,360.0
53,164099.96354166666,167500.15833333333,1.0052083333333333,3778.2000000000003,377.0
54,164010.19479166667,167500.15833333333,1.0364583333333333,3879.0,388.0
55,168440.99594907404,171920.15833333333,1.0376157407407407,3879.2000000000003,399.0
56,183222.14537037042,186690.50833333336,1.037037037037037,3879.4,410.0
57,183141.7465277778,186690.50833333336,1.0381944444444444,3972.8,423.0
58,183108.3349537037,186690.50833333336,1.0266203703703702,4019.2000000000003,436.0
59,183020.5494212963,186690.50833333336,1.0410879629629628,4120.0,449.0
60,182954.18587962966,186690.50833333336,1.0775462962962963,4199.400000000001,462.0
61,190548.68831018519,194269.97083333333,1.1174768518518519,4199.400000000001,477.0
62,190365.12650462962,194269.97083333333,1.1556712962962963,4404.0,498.0
63,196695.06458333335,200585.08750000002,1.1770833333333333,4404.2,513.0
64,196623.08599537038,200585.08750000002,1.1984953703703705,4489.2,526.0
65,196521.49699074076,200585.08750000002,1.2094907407407407,4607.8,543.0
66,200586.3451388889,204640.3541666667,1.1909722222222223,4613.2,558.0
67,200551.94108796297,204640.3541666667,1.1869212962962963,4666.6,577.0
68,200366.34398148148,204640.3541666667,1.1898148148148147,4871.2,596.0
69,200296.3434027778,204640.3541666667,1.189236111111111,4956.200000000001,611.0
70,200283.36828703704,204640.3541666667,1.2141203703703702,4986.200000000001,628.0
71,200101.77465277782,204640.3541666667,1.220486111111111,5190.8,651.0
72,223797.5688657407,228321.35416666663,1.214699074074074,5191.0,666.0
73,223614.00879629626,228321.35416666663,1.2546296296296295,5395.6,687.0
74,236046.6935185185,240739.00416666665,1.2893518518518519,5395.6,702.0
75,243580.17974537032,248261.08749999997,1.2922453703703705,5401.200000000001,719.0
76,252923.59710648147,257587.4875,1.3096064814814814,5401.200000000001,736.0
77,252901.99131944444,257587.4875,1.3038194444444444,5441.8,755.0
